date,open,high,low,close,volume,outstanding_share,turnover,r_1,r_5,r_10,rsi_5,rsi_14,K,D,J
2008-12-05,6.0,7.66,5.68,6.8,314993600.0,616038405.0,0.5113213680241251,,,,,,56.56565656565656,56.56565656565656,56.56565656565657
2008-12-08,6.71,7.48,6.7,7.48,159923712.0,616038405.0,0.2596002306057526,0.10000000000000009,,,,,68.01346801346801,60.38159371492705,83.27721661054994
2008-12-09,7.78,8.12,7.41,7.69,246571008.0,616038405.0,0.40025265632586654,0.028074866310160422,,,,,72.80132840242132,64.52150527742515,89.36097465241366
2008-12-10,7.49,7.67,7.31,7.54,118765240.0,616038405.0,0.19278869472431673,-0.019505851755526705,,,,,73.94405500052133,67.66235518512389,86.50745463131622
2008-12-11,7.52,7.56,6.93,7.12,136933184.0,616038405.0,0.22228027163338948,-0.05570291777188328,,,,,68.96816781455522,68.097626061601,70.70925132046364
2008-12-12,7.02,7.12,6.77,7.01,86324304.0,616038405.0,0.1401281207459785,-0.015449438202247236,0.030882352941176465,,56.68789808917197,,64.14817745014065,66.78114319111423,58.8822459681935
2008-12-15,7.04,7.06,6.78,6.88,61583312.0,616038405.0,0.09996667659056094,-0.018544935805991425,-0.08021390374331558,,51.37085137085136,,59.15889425637793,64.24039354620213,48.99589567672953
2008-12-16,6.8,6.8,6.46,6.68,70482432.0,616038405.0,0.11441239933734326,-0.029069767441860492,-0.13133940182054624,,43.520782396088016,,53.10046502337764,60.52708403859397,38.247226992944974
2008-12-17,6.75,7.14,6.7,6.86,82880048.0,616038405.0,0.13453714464441546,0.02694610778443123,-0.09018567639257291,,51.805972095449235,,51.52052859482008,57.52489889066934,39.511788003121566
2008-12-18,6.75,6.88,6.6,6.8,50592008.0,616038405.0,0.08212476298454152,-0.008746355685131267,-0.04494382022471914,,48.82184879112776,,41.17432830016118,52.07470869383329,19.37356751281696
2008-12-19,6.77,6.92,6.72,6.75,48217400.0,616038405.0,0.07827012018836715,-0.007352941176470562,-0.03708987161198285,-0.007352941176470562,46.058261149934985,,33.27284537279822,45.80742092015494,8.203694278084782
2008-12-22,6.72,6.73,6.51,6.56,44720248.0,616038405.0,0.0725932793102404,-0.028148148148148207,-0.046511627906976785,-0.12299465240641722,36.2984624630712,,24.936717851837926,38.850519897382604,-2.8908862392514294
2008-12-23,6.58,6.78,6.38,6.39,48098256.0,616038405.0,0.07807671666184514,-0.025914634146341455,-0.04341317365269462,-0.16905071521456444,29.344072469260283,,16.90696444359816,31.53600141278779,-12.351109494781099
2008-12-24,6.29,6.29,5.94,6.07,49308344.0,616038405.0,0.08004102276707895,-0.050078247261345764,-0.1151603498542274,-0.1949602122015915,20.22616141963836,,14.88242074017655,25.98480785525071,-7.322353489971775
2008-12-25,6.07,6.16,5.9,6.02,33945596.0,616038405.0,0.05510305157029942,-0.008237232289950693,-0.11470588235294121,-0.15449438202247198,19.06890208559966,36.64383561643836,13.147420278397252,21.70567866296623,-3.9690964907406965
2008-12-26,6.01,6.08,5.95,6.01,24987214.0,616038405.0,0.04056113027563598,-0.001661129568106277,-0.10962962962962966,-0.14265335235378032,18.799987234975077,36.50918635170604,11.72193609957665,18.377764475169705,-1.5897206516094613
2008-12-29,5.96,6.18,5.77,6.16,47634224.0,616038405.0,0.07732346492261306,0.02495840266222968,-0.06097560975609748,-0.10465116279069764,35.78070066114745,40.06670478368592,17.30367516127496,18.019734703871457,15.871556076081966
2008-12-30,6.14,6.15,5.93,5.94,31011944.0,616038405.0,0.05034092639078241,-0.03571428571428567,-0.0704225352112675,-0.11077844311377236,25.86449916181104,36.809036766072545,16.463319672734052,17.500929693492324,14.388099631217507
2008-12-31,5.92,5.94,5.76,5.78,23228876.0,616038405.0,0.037706863421932274,-0.02693602693602696,-0.047775947281713346,-0.15743440233236153,20.659471664515152,34.60535684195867,11.550259092167543,15.517372826384065,3.6160316237345
2009-01-05,5.85,6.0,5.81,5.98,28238628.0,616038405.0,0.045839070698847094,0.034602076124567505,-0.006644518272425108,-0.12058823529411757,39.63933220141948,39.48254400270578,14.889715211771845,15.308153621513327,14.052838392288884
2009-01-06,5.96,6.58,5.9,6.58,54915932.0,616038405.0,0.08914368252739048,0.10033444816053505,0.0948419301164726,-0.025185185185185175,68.1822602157066,51.23309822412867,36.72386242876293,22.44672322392986,65.27814083842907
2009-01-07,6.7,6.88,6.51,6.52,104305392.0,616038405.0,0.1693163789033575,-0.009118541033434726,0.05844155844155835,-0.0060975609756097615,64.37699277584633,50.183736153949596,47.101622571556234,30.665023006471987,79.97482170172475
2009-01-08,6.3,6.38,6.12,6.16,45846956.0,616038405.0,0.07442223671103752,-0.055214723926380285,0.03703703703703699,-0.03599374021909226,45.381397116779354,44.31837803331844,43.30584361913274,34.878629877358904,60.16027110268041
2009-01-09,6.16,6.35,6.16,6.33,31648730.0,616038405.0,0.05137460545174939,0.027597402597402586,0.09515570934256051,0.04283360790774296,53.48330840091698,47.442291997699286,45.834848127040885,38.5307026272529,60.443139126616856
2009-01-12,6.29,6.42,6.22,6.3,28199696.0,616038405.0,0.04577587334023436,-0.004739336492891035,0.053511705685618624,0.04651162790697679,51.78871927995179,46.94179224101579,46.62799398945583,41.229799747987215,57.42438247239306
2009-01-13,6.2,6.21,5.97,6.01,35753692.0,616038405.0,0.058038089362302016,-0.04603174603174604,-0.08662613981762922,0.0,37.45061201184136,42.296586495521844,38.52580551678008,40.32846833758484,34.92047987517057
2009-01-14,5.98,6.29,5.92,6.28,35270640.0,616038405.0,0.05725396292460046,0.04492512479201339,-0.036809815950920144,0.019480519480519497,52.693128181314634,47.50508969408745,41.16006082071054,40.605665831960074,42.268850798211474
2009-01-15,6.2,6.3,6.13,6.2,33236284.0,616038405.0,0.053951642836293626,-0.012738853503184724,0.006493506493506499,0.04377104377104373,48.331025856196085,46.17515386096668,39.58957325742075,40.266968307113636,38.234783158034986
2009-01-16,6.25,6.38,6.2,6.22,38172416.0,616038405.0,0.061964344576861244,0.0032258064516128343,-0.017377567140600365,0.07612456747404836,49.63398114385804,46.57781239250749,37.27740257977709,39.270446398001454,33.29131494332836
2009-01-19,6.26,6.38,6.21,6.3,35475040.0,616038405.0,0.05758576042024523,0.012861736334405157,0.0,0.053511705685618624,55.27341396922033,48.245619787162646,38.04604616429584,38.862312986766256,36.41351251935501
2009-01-20,6.28,6.31,6.13,6.24,21501840.0,616038405.0,0.034903408335394286,-0.009523809523809462,0.03826955074875215,-0.05167173252279633,50.02250469895199,47.05899658372117,46.69736410953058,41.47399669435437,57.14409893988301
2009-01-21,6.15,6.21,6.08,6.14,25365970.0,616038405.0,0.041175955580236914,-0.01602564102564111,-0.022292993630573337,-0.058282208588957045,41.75800244289617,45.069377494967945,45.79824273968704,42.91541204279859,51.56390413346392
2009-01-22,6.17,6.5,6.1,6.34,43806524.0,616038405.0,0.0711100536012848,0.03257328990228016,0.02258064516129027,0.029220779220779175,58.78246173519826,49.6540323630386,54.670092860940784,46.83363898217932,70.34300061846372
2009-01-23,6.28,6.33,6.17,6.21,24852292.0,616038405.0,0.04034211470955289,-0.02050473186119872,-0.0016077170418006088,-0.018957345971563996,47.50104590586759,46.91318359738484,53.11339524062719,48.926891068328615,61.48640358522434
2009-02-02,6.29,6.35,6.25,6.31,22900988.0,616038405.0,0.03717461089134532,0.016103059581320394,0.0015873015873015535,0.0015873015873015535,55.679753245656265,49.23453173458424,57.822723263866386,51.892168466841206,69.68383285791676
2009-02-03,6.3,6.87,6.27,6.68,71104856.0,616038405.0,0.11542276491674248,0.058637083993660875,0.07051282051282043,0.11148086522462562,74.24019540589472,56.76726684178589,63.864937872113444,55.88309160193196,79.82863041247641
2009-02-04,6.68,7.08,6.62,6.84,90767928.0,616038405.0,0.14734134635648244,0.023952095808383256,0.11400651465798049,0.08917197452229293,78.9950395687137,59.5616181785798,67.90995858140896,59.89204726175763,83.94578122071162
2009-02-05,6.85,6.89,6.53,6.63,57913604.0,616038405.0,0.09400972979923224,-0.030701754385964907,0.045741324921135654,0.06935483870967737,60.63328601901407,54.57563183171615,63.60663905427264,61.13024452592931,68.5594281109593
2009-02-06,6.64,6.95,6.64,6.85,64304484.0,616038405.0,0.10438388820904762,0.03318250377073903,0.10305958132045083,0.1012861736334405,69.81978549075694,58.49547023932274,68.07109270284842,63.443860584902346,77.32555693874055
2009-02-09,6.91,7.27,6.81,7.14,98681032.0,616038405.0,0.16018649356771839,0.04233576642335767,0.13153724247226625,0.1333333333333333,78.20149951713888,63.02494735864924,75.0726052192659,67.32010879635686,90.57759806508398
2009-02-10,7.05,7.15,6.91,7.14,68462448.0,616038405.0,0.11113340896335838,0.0,0.0688622754491018,0.14423076923076913,78.20149951713888,63.02494735864924,79.67803310914024,71.439416900618,96.15526552618473
2009-02-11,6.98,7.51,6.91,7.41,116931720.0,616038405.0,0.18981238677806134,0.037815126050420235,0.08333333333333337,0.20684039087947892,84.47415623624943,66.9227279651071,83.96445988370544,75.61443122831382,100.6645171944887
2009-02-12,7.58,8.15,7.4,8.15,187609856.0,616038405.0,0.3045424676080057,0.09986504723346831,0.22926093514328816,0.2854889589905364,92.18169286280998,74.77220222215581,89.3096399224703,80.17950079303264,107.5699181813456
2009-02-13,8.16,8.3,8.03,8.16,113708808.0,616038405.0,0.18458071295084275,0.0012269938650306487,0.19124087591240885,0.3140096618357488,92.24670953448562,74.85902744807635,90.57424270693423,83.64441476433318,104.43389859213633
2009-02-16,8.18,8.2,7.89,8.09,83516496.0,616038405.0,0.13557027503829083,-0.008578431372549055,0.13305322128851543,0.28209191759112523,85.98970435098055,72.96594505558969,89.7613595447358,85.68339635780072,97.91728591860596
2009-02-17,8.06,8.07,7.61,7.63,69384752.0,616038405.0,0.11263056237540904,-0.05686032138442521,0.06862745098039219,0.1422155688622755,55.22188745966077,61.889794480530995,80.5565372482796,83.97444332129368,73.72072510225144
2009-02-18,7.5,8.07,7.47,7.71,81964384.0,616038405.0,0.133050769781147,0.010484927916120585,0.04048582995951414,0.12719298245614036,58.453552150066166,62.943336335200634,75.19030194062013,81.0463961944025,63.47811343305537
2009-02-19,7.79,8.03,7.61,7.89,61739644.0,616038405.0,0.10022044648336495,0.023346303501945487,-0.031901840490797626,0.19004524886877824,65.46372242384632,65.26974334187486,74.28794178591677,78.7935780582406,65.27666924126913
2009-02-20,7.9,8.66,7.81,8.3,92649648.0,616038405.0,0.15039589617793392,0.0519645120405578,0.01715686274509811,0.21167883211678848,76.6712096665034,69.90440791534218,76.001485000135,77.86288037220541,72.2786942559942
2009-02-23,8.2,8.48,8.12,8.38,71405088.0,616038405.0,0.11591012414234142,0.009638554216867478,0.035846724351050796,0.173669467787115,78.38224676284952,70.72531381597781,78.6676566667567,78.13113913705584,79.74069172615842
2009-02-24,8.18,8.38,7.63,7.76,76673552.0,616038405.0,0.12446229224945805,-0.0739856801909309,0.017038007863695925,0.08683473389355745,45.823521971926105,57.61009691880852,61.968913968313984,72.74373074747523,40.4192804099915
2009-02-25,7.9,7.95,7.39,7.66,53911408.0,616038405.0,0.08751306341038917,-0.012886597938144284,-0.006485084306095956,0.033738191632928474,42.282499712078895,55.812368672010955,48.39922348543768,64.62889499346272,15.939880469387589
2009-02-26,7.61,7.86,6.89,7.14,52239824.0,616038405.0,0.08479962219238588,-0.06788511749347265,-0.09505703422053233,-0.12392638036809824,28.145385878096107,47.510057292710485,36.974246918728696,55.41067896855138,0.10138281908332658
2009-02-27,7.07,7.13,6.64,6.75,44969384.0,616038405.0,0.07299769565502982,-0.05462184873949576,-0.1867469879518073,-0.17279411764705885,21.42855677217733,42.41411061820103,26.464679463970953,45.762012467024576,-12.129986542136294
2009-03-02,6.76,6.94,6.76,6.9,30304272.0,616038405.0,0.04919217982846378,0.022222222222222275,-0.17661097852028643,-0.1470951792336217,29.515549872725913,44.86367291143438,21.933548685551603,37.81919120653359,-9.837736356412364
2009-03-03,6.69,6.92,6.61,6.78,27891608.0,616038405.0,0.045275761662943725,-0.0173913043478261,-0.12628865979381437,-0.11140235910878109,26.761149282399472,43.27764544342185,17.386593432644162,31.008325281903783,-9.85687026587508
2009-03-04,6.79,7.29,6.79,7.24,50096424.0,616038405.0,0.08132029365928899,0.06784660766961652,-0.05483028720626631,-0.060959792477302176,49.391320096701385,50.50150279757623,21.83496472745383,27.950538430420465,9.603817321520552
2009-03-05,7.31,7.4,7.03,7.28,57353352.0,616038405.0,0.09310028649918344,0.005524861878453044,0.01960784313725498,-0.07731305449936622,51.03583142156418,51.0848739259278,26.499602153418415,27.466893004753118,24.565020450749017
2009-03-06,7.14,7.5,7.08,7.37,46251424.0,616038405.0,0.07507879967321193,0.012362637362637343,0.09185185185185187,-0.1120481927710844,55.136005790569776,52.442983225737834,31.97901913806048,28.970935049188906,37.995187315803626
2009-03-09,7.4,7.5,6.91,7.23,46322700.0,616038405.0,0.07519450025197698,-0.018995929443690593,0.04782608695652175,-0.13723150357995229,47.41559076736899,50.112182866530176,36.74223166417963,31.561367254185814,47.10396048416725
2009-03-10,7.29,7.37,7.11,7.33,41549344.0,616038405.0,0.06744602879101344,0.013831258644536604,0.08112094395280232,-0.05541237113402058,53.25922748314851,51.76136765982489,43.69482110945309,35.60585187260824,59.872759583142795
2009-03-11,7.46,7.48,7.12,7.14,36104380.0,616038405.0,0.058607352572442296,-0.025920873124147394,-0.01381215469613267,-0.06788511749347265,42.137776760315106,48.48197508917525,48.98006800555298,40.06392391692316,66.81235618281261
2009-03-12,7.09,7.13,6.83,7.03,27279526.0,616038405.0,0.044282183997927854,-0.015406162464985915,-0.03434065934065934,-0.015406162464985915,36.605963415276776,46.63964816634535,48.38371574902035,42.83718786095555,59.47677152514993
2009-03-13,7.05,7.21,6.95,6.96,23615760.0,616038405.0,0.03833488270913889,-0.00995732574679947,-0.05563093622795117,0.031111111111111107,33.144767052740775,45.45588040937959,45.364424731556625,43.67960015115591,48.734073892358055
2009-03-16,6.9,6.98,6.8,6.97,17684890.0,616038405.0,0.028707447224820343,0.0014367816091953717,-0.03596127247579539,0.010144927536231797,34.254836576475725,45.66803542001314,38.69365404638985,42.01761811623389,32.045725906701776
2009-03-17,7.0,7.25,6.91,7.2,30089656.0,616038405.0,0.04884379895113845,0.032998565279770506,-0.017735334242837637,0.06194690265486724,55.498429146752706,50.442525975584985,44.84338841187896,42.95954154811558,48.61108213940574
