date,open,high,low,close,volume,outstanding_share,turnover
2008-12-05,6.0,7.66,5.68,6.8,314993600.0,616038405.0,0.5113213680241251
2008-12-08,6.71,7.48,6.7,7.48,159923712.0,616038405.0,0.2596002306057526
2008-12-09,7.78,8.12,7.41,7.69,246571008.0,616038405.0,0.40025265632586654
2008-12-10,7.49,7.67,7.31,7.54,118765240.0,616038405.0,0.19278869472431673
2008-12-11,7.52,7.56,6.93,7.12,136933184.0,616038405.0,0.22228027163338948
2008-12-12,7.02,7.12,6.77,7.01,86324304.0,616038405.0,0.1401281207459785
2008-12-15,7.04,7.06,6.78,6.88,61583312.0,616038405.0,0.09996667659056094
2008-12-16,6.8,6.8,6.46,6.68,70482432.0,616038405.0,0.11441239933734326
2008-12-17,6.75,7.14,6.7,6.86,82880048.0,616038405.0,0.13453714464441546
2008-12-18,6.75,6.88,6.6,6.8,50592008.0,616038405.0,0.08212476298454152
2008-12-19,6.77,6.92,6.72,6.75,48217400.0,616038405.0,0.07827012018836715
2008-12-22,6.72,6.73,6.51,6.56,44720248.0,616038405.0,0.0725932793102404
2008-12-23,6.58,6.78,6.38,6.39,48098256.0,616038405.0,0.07807671666184514
2008-12-24,6.29,6.29,5.94,6.07,49308344.0,616038405.0,0.08004102276707895
2008-12-25,6.07,6.16,5.9,6.02,33945596.0,616038405.0,0.05510305157029942
2008-12-26,6.01,6.08,5.95,6.01,24987214.0,616038405.0,0.04056113027563598
2008-12-29,5.96,6.18,5.77,6.16,47634224.0,616038405.0,0.07732346492261306
2008-12-30,6.14,6.15,5.93,5.94,31011944.0,616038405.0,0.05034092639078241
2008-12-31,5.92,5.94,5.76,5.78,23228876.0,616038405.0,0.037706863421932274
2009-01-05,5.85,6.0,5.81,5.98,28238628.0,616038405.0,0.045839070698847094
2009-01-06,5.96,6.58,5.9,6.58,54915932.0,616038405.0,0.08914368252739048
2009-01-07,6.7,6.88,6.51,6.52,104305392.0,616038405.0,0.1693163789033575
2009-01-08,6.3,6.38,6.12,6.16,45846956.0,616038405.0,0.07442223671103752
2009-01-09,6.16,6.35,6.16,6.33,31648730.0,616038405.0,0.05137460545174939
2009-01-12,6.29,6.42,6.22,6.3,28199696.0,616038405.0,0.04577587334023436
2009-01-13,6.2,6.21,5.97,6.01,35753692.0,616038405.0,0.058038089362302016
2009-01-14,5.98,6.29,5.92,6.28,35270640.0,616038405.0,0.05725396292460046
2009-01-15,6.2,6.3,6.13,6.2,33236284.0,616038405.0,0.053951642836293626
2009-01-16,6.25,6.38,6.2,6.22,38172416.0,616038405.0,0.061964344576861244
2009-01-19,6.26,6.38,6.21,6.3,35475040.0,616038405.0,0.05758576042024523
2009-01-20,6.28,6.31,6.13,6.24,21501840.0,616038405.0,0.034903408335394286
2009-01-21,6.15,6.21,6.08,6.14,25365970.0,616038405.0,0.041175955580236914
2009-01-22,6.17,6.5,6.1,6.34,43806524.0,616038405.0,0.0711100536012848
2009-01-23,6.28,6.33,6.17,6.21,24852292.0,616038405.0,0.04034211470955289
2009-02-02,6.29,6.35,6.25,6.31,22900988.0,616038405.0,0.03717461089134532
2009-02-03,6.3,6.87,6.27,6.68,71104856.0,616038405.0,0.11542276491674248
2009-02-04,6.68,7.08,6.62,6.84,90767928.0,616038405.0,0.14734134635648244
2009-02-05,6.85,6.89,6.53,6.63,57913604.0,616038405.0,0.09400972979923224
2009-02-06,6.64,6.95,6.64,6.85,64304484.0,616038405.0,0.10438388820904762
2009-02-09,6.91,7.27,6.81,7.14,98681032.0,616038405.0,0.16018649356771839
2009-02-10,7.05,7.15,6.91,7.14,68462448.0,616038405.0,0.11113340896335838
2009-02-11,6.98,7.51,6.91,7.41,116931720.0,616038405.0,0.18981238677806134
2009-02-12,7.58,8.15,7.4,8.15,187609856.0,616038405.0,0.3045424676080057
2009-02-13,8.16,8.3,8.03,8.16,113708808.0,616038405.0,0.18458071295084275
2009-02-16,8.18,8.2,7.89,8.09,83516496.0,616038405.0,0.13557027503829083
2009-02-17,8.06,8.07,7.61,7.63,69384752.0,616038405.0,0.11263056237540904
2009-02-18,7.5,8.07,7.47,7.71,81964384.0,616038405.0,0.133050769781147
2009-02-19,7.79,8.03,7.61,7.89,61739644.0,616038405.0,0.10022044648336495
2009-02-20,7.9,8.66,7.81,8.3,92649648.0,616038405.0,0.15039589617793392
2009-02-23,8.2,8.48,8.12,8.38,71405088.0,616038405.0,0.11591012414234142
2009-02-24,8.18,8.38,7.63,7.76,76673552.0,616038405.0,0.12446229224945805
2009-02-25,7.9,7.95,7.39,7.66,53911408.0,616038405.0,0.08751306341038917
2009-02-26,7.61,7.86,6.89,7.14,52239824.0,616038405.0,0.08479962219238588
2009-02-27,7.07,7.13,6.64,6.75,44969384.0,616038405.0,0.07299769565502982
2009-03-02,6.76,6.94,6.76,6.9,30304272.0,616038405.0,0.04919217982846378
2009-03-03,6.69,6.92,6.61,6.78,27891608.0,616038405.0,0.045275761662943725
2009-03-04,6.79,7.29,6.79,7.24,50096424.0,616038405.0,0.08132029365928899
2009-03-05,7.31,7.4,7.03,7.28,57353352.0,616038405.0,0.09310028649918344
2009-03-06,7.14,7.5,7.08,7.37,46251424.0,616038405.0,0.07507879967321193
2009-03-09,7.4,7.5,6.91,7.23,46322700.0,616038405.0,0.07519450025197698
2009-03-10,7.29,7.37,7.11,7.33,41549344.0,616038405.0,0.06744602879101344
2009-03-11,7.46,7.48,7.12,7.14,36104380.0,616038405.0,0.058607352572442296
2009-03-12,7.09,7.13,6.83,7.03,27279526.0,616038405.0,0.044282183997927854
2009-03-13,7.05,7.21,6.95,6.96,23615760.0,616038405.0,0.03833488270913889
2009-03-16,6.9,6.98,6.8,6.97,17684890.0,616038405.0,0.028707447224820343
2009-03-17,7.0,7.25,6.91,7.2,30089656.0,616038405.0,0.04884379895113845
2009-03-18,7.23,7.29,7.15,7.18,36339780.0,616038405.0,0.058989471606076246
