,date,title
0,['08-20 00:12'],['跑步入场！投资者数量首破1.7亿！新增2600亿杠杆资金 ']
1,['08-18 15:04'],['要整体上市吗']
2,['08-18 09:05'],['上海电气：融资净买入1829.49万元，融资余额8.8亿元（']
3,['08-14 21:56'],['[惨!关灯吃面][惨!关灯吃面][惨!关灯吃面]']
4,['08-13 22:31'],['政策性AMC还有多远？']
5,['08-12 13:34'],['手续费太便宜了']
6,['08-11 14:56'],['这就不能怪庄家不给力了，架不住猪队友太多']
7,['08-11 11:35'],['中心国际断工化为了，你们说还能指望谁？']
8,['08-08 11:06'],['无聊看了一下自选股，全身翻倍股，后悔买了你这垃圾']
9,['08-06 21:26'],['8月5日，世界品牌大会正式发布2020年《中国500最具价']
10,['08-06 10:22'],['上海电气第一目标进场位在5.60元左右']
11,['08-05 09:29'],['两万手压制单']
12,['08-04 10:09'],['昨天6元解套卖了[鼓掌]']
13,['08-03 14:09'],['立即买入']
14,['07-30 15:20'],['天天找跌，缺跌来找我吧！[怒]']
15,['07-28 18:43'],['明天一字板']
16,['07-25 01:13'],['下星期准备建仓了，看好5倍。。哈哈']
17,['07-22 13:12'],['真腊鸡！没资金进来！']
18,['07-17 18:45'],['今天第一次做融券卖出上海电气，目前还是对的，等主跌']
19,['07-15 21:33'],['分拆上市提振股价 是蜜糖还是砒霜?']
20,['07-14 10:52'],['集团是上海微电的大股东，给上海电气一点活，那是没有']
21,['07-12 09:46'],['涨跌不动，持股不动，睡觉！看表演至明年底！']
22,['07-09 21:18'],['靠新能源挣钱尚待时日']
